HEADER,Shooter_HTC_20110331,
Default,21,22
Default Car-kit,1601,1701
JABRA WAVE,1401,1501
Motorola H790,1402,1502
JABRA EASYGO,1403,1503
245Plantronics,1404,1504
Jabra EXTREME,1405,1505
PLT_M1100,1406,1506
PROPlantronics,1407,1507
HM1000,1408,1508
Jabra Stone2,1409,1509
VBT3050,1410,1510
Jawbone ICON,1411,1511
9XXBackBeat,1412,1512
Jabra CLIPPER,1413,1513
Jabra SP700,1414,1514
Jabra Halo,1415,1515
Motorola Finiti,1416,1516
Jabra Cruiser2,1417,1517
LG HBS-700,1418,1518
LG HBM-800,1419,1519
BlueAnt Q2 V1.1,1420,1520
Motorola Roadster,1602,1702
Motorola T605,1603,1703
BMW,1604,1704
FORD Sync,1605,1705
Denso 03,1606,1706
JCI Honda,1607,1707
JCI Mazda,1608,1708
END,,
